Name,Password,Card type,Property,Effect type,Archseries,Artwork,TCG status,OCG status,Page name,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
A-to-Z-Dragon Buster Cannon,65172015,Monster Card,,"('Quick Effect', 'Summoning condition')","('A-to-Z',)","('Edited',)",Unlimited,Unlimited,A-to-Z-Dragon Buster Cannon,2022-11-11 13:37:01,,Fusion Monster,,LIGHT,Machine,10,4000,4000,,,
A.I. Challenge You,28645123,Trap Card,Continuous Trap Card,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('A.I.',)",,Unlimited,Unlimited,A.I. Challenge You,2021-06-04 08:58:27,,,,,,,,,,,
A.I. Contact,10493654,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('A.I.',)",,Unlimited,Unlimited,A.I. Contact,2022-05-05 17:56:22,,,,,,,,,,,
A.I. Love Fusion,59332125,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('A.I.', 'Polymerization (archetype)')",,Unlimited,Unlimited,A.I. Love Fusion,2022-07-05 13:50:30,,,,,,,,,,,
A.I. Meet You,06552971,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('A.I.',)",,Unlimited,Unlimited,A.I. Meet You,2022-09-14 13:22:35,,,,,,,,,,,
A.I. Shadow,77421977,Trap Card,Continuous Trap Card,"('Activation condition', 'Condition', 'Continuous-like Effect', 'Trigger Effect')","('A.I.',)",,Unlimited,Unlimited,A.I. Shadow,2022-09-01 12:32:12,,,,,,,,,,,
A.I.'s Ritual,85327820,Spell Card,Ritual Spell Card,"('Effect',)","('A.I.',)",,Unlimited,Unlimited,A.I.'s Ritual,2022-05-05 17:00:17,,,,,,,,,,,
A.I.'s Show,54374642,Trap Card,Normal Trap Card,"('Effect',)","('A.I.',)",,Unlimited,Unlimited,A.I.'s Show,2021-12-03 11:45:55,,,,,,,,,,,
A.I.Q,69381150,Trap Card,Continuous Trap Card,"('Activation condition', 'Continuous-like Effect', 'Maintenance cost')","('A.I.',)",,Unlimited,Unlimited,A.I.Q,2022-05-05 18:02:17,,,,,,,,,,,
A.I.dle Reborn,22933016,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('A.I.',)",,Unlimited,Unlimited,A.I.dle Reborn,2022-05-05 16:58:21,,,,,,,,,,,
A/D Changer,96146814,Monster Card,,"('Ignition Effect',)","('Change',)",,Unlimited,Unlimited,A/D Changer,2022-03-31 12:47:56,,Effect Monster,,LIGHT,Warrior,1,100,100,,,
ABC-Dragon Buster,01561110,Monster Card,,"('Quick Effect', 'Summoning condition')","('A-to-Z',)",,Unlimited,Unlimited,ABC-Dragon Buster,2021-07-10 13:42:21,,Fusion Monster,,LIGHT,Machine,8,3000,2800,,,
ALERT!,26372118,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect')","('Rescue-ACE',)",,Not yet released,Unlimited,ALERT!,2023-01-09 17:41:12,,,,,,,,,,,
Abaki,12694768,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Abaki,2021-11-06 16:29:42,,Effect Monster,,FIRE,Fiend,4,1700,1100,,,
Abare Ushioni,89718302,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,Abare Ushioni,2022-08-25 09:32:52,,Effect Monster,,EARTH,Beast-Warrior,4,1200,1200,,,
Abominable Chamber of the Unchained,80801743,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Trigger Effect')","('Unchained',)",,Unlimited,Unlimited,Abominable Chamber of the Unchained,2022-05-05 16:21:38,,,,,,,,,,,
Abominable Unchained Soul,01966438,Monster Card,,"('Condition', 'Trigger Effect')","('Unchained', 'Unchained Soul')",,Unlimited,Unlimited,Abominable Unchained Soul,2022-05-05 16:39:35,,Effect Monster,,DARK,Fiend,8,3000,1500,,,
Abomination's Prison,27412542,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Abomination's Prison,2022-05-05 16:16:15,,,,,,,,,,,
Absolute Crusader,70832512,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Absolute Crusader,2020-11-15 04:24:25,,Effect Monster,,EARTH,Warrior,4,1800,1200,,,
Absolute End,27744077,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,"('Edited',)",Unlimited,Unlimited,Absolute End,2022-08-13 13:13:33,,,,,,,,,,,
Absolute King Back Jack,60990740,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Absolute King Back Jack,2022-12-01 16:10:35,,Effect Monster,,DARK,Fiend,1,0,0,,,
Absorb Fusion,71422989,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Fusion (archetype)',)",,Unlimited,Unlimited,Absorb Fusion,2020-11-15 04:24:41,,,,,,,,,,,
Absorbing Jar,03900605,Monster Card,,"('Flip effect',)","('Jar',)",,Unlimited,Unlimited,Absorbing Jar,2021-11-06 15:22:32,"('Type',)",Effect Monster,Flip monster,EARTH,Rock,3,600,500,,,
Absorbing Kid from the Sky,49771608,Monster Card,,"('Trigger Effect',)",,"('Edited',)",Unlimited,Unlimited,Absorbing Kid from the Sky,2021-01-06 17:27:20,,Effect Monster,,LIGHT,Fairy,4,1300,1000,,,
Absorouter Dragon,67748760,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,,Unlimited,Unlimited,Absorouter Dragon,2021-12-27 19:15:49,,Effect Monster,,DARK,Dragon,7,1200,2800,,,
Abyss Actor - Comic Relief,15308295,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Comic Relief,2022-04-01 12:47:22,,Effect Monster,,DARK,Fiend,3,1000,2000,8,,
Abyss Actor - Curtain Raiser,44179224,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Curtain Raiser,2023-01-03 23:00:28,,Effect Monster,,DARK,Fiend,4,1100,1000,7,,
Abyss Actor - Evil Heel,52240819,Monster Card,,"('Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Evil Heel,2020-03-12 23:08:29,,Effect Monster,,DARK,Fiend,8,3000,2000,1,,
Abyss Actor - Extras,88412339,Monster Card,,"('Condition', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Extras,2022-04-01 12:55:44,,Effect Monster,,DARK,Fiend,1,100,100,3,,
Abyss Actor - Funky Comedian,99634927,Monster Card,,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Funky Comedian,2020-03-12 23:09:45,,Effect Monster,,DARK,Fiend,1,300,200,8,,
Abyss Actor - Hyper Director,02368215,Monster Card,,"('Condition', 'Ignition Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Hyper Director,2021-10-06 00:21:20,,Link Monster,,DARK,Fiend,,800,,,1,"('↓',)"
Abyss Actor - Leading Lady,24907044,Monster Card,,"('Trigger Effect',)","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Leading Lady,2022-12-30 14:53:58,,Effect Monster,,DARK,Fiend,4,1500,1000,2,,
Abyss Actor - Liberty Dramatist,65477143,Monster Card,,"('Condition', 'Trigger Effect')","('Abyss Actor',)",,,Unlimited,Abyss Actor - Liberty Dramatist,2022-12-20 02:30:10,,Effect Monster,,DARK,Fiend,4,1500,1500,8,,
Abyss Actor - Mellow Madonna,78310590,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)","('Edited',)",Unlimited,Unlimited,Abyss Actor - Mellow Madonna,2022-04-20 02:49:15,,Effect Monster,,DARK,Fiend,7,1800,2500,0,,
Abyss Actor - Sassy Rookie,51028231,Monster Card,,"('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Sassy Rookie,2020-03-12 23:12:06,,Effect Monster,,DARK,Fiend,4,1700,1000,2,,
Abyss Actor - Super Producer,47404795,Monster Card,,"('Condition', 'Quick Effect')","('Abyss Actor',)",,,Unlimited,Abyss Actor - Super Producer,2022-10-15 09:35:27,,Link Monster,,DARK,Fiend,,1600,,,2,"('↙', '↘')"
Abyss Actor - Superstar,25629622,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Superstar,2022-12-25 15:47:09,,Effect Monster,,DARK,Fiend,7,2500,1800,3,,
Abyss Actor - Trendy Understudy,39024589,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Trendy Understudy,2022-04-01 12:51:54,,Effect Monster,,DARK,Fiend,2,700,700,8,,
Abyss Actor - Twinkle Little Star,07279373,Monster Card,,"('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actor - Twinkle Little Star,2022-04-20 02:36:21,,Effect Monster,,DARK,Fiend,4,1000,1000,9,,
Abyss Actor - Wild Hope,51391183,Monster Card,,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor', 'Utopic')",,Unlimited,Unlimited,Abyss Actor - Wild Hope,2022-04-01 12:56:34,,Effect Monster,,DARK,Fiend,4,1600,1200,2,,
Abyss Actors Back Stage,59057953,Trap Card,Normal Trap Card,"('Activation condition', 'Condition', 'Effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actors Back Stage,2022-04-01 12:53:38,,,,,,,,,,,
Abyss Actors' Curtain Call,04682617,Trap Card,Normal Trap Card,"('Activation condition', 'Condition', 'Effect', 'Lingering effect')","('Abyss Actor',)",,Unlimited,Unlimited,Abyss Actors' Curtain Call,2022-04-20 02:42:14,,,,,,,,,,,
Abyss Actors' Dress Rehearsal,06004133,Spell Card,Normal Spell Card,"('Effect',)","('Abyss Actor',)",,,Unlimited,Abyss Actors' Dress Rehearsal,2022-10-15 10:00:38,,,,,,,,,,,
Abyss Dweller,21044178,Monster Card,,"('Continuous Effect', 'Quick Effect')",,,Unlimited,Unlimited,Abyss Dweller,2022-10-10 14:40:57,,Xyz Monster,,WATER,Sea Serpent,4,1700,1400,,,
Abyss Flower,40387124,Monster Card,,,,,,Unlimited,Abyss Flower,2021-10-30 17:01:55,,Normal Monster,,EARTH,Plant,2,750,400,,,
Abyss Keeper,82184400,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Abyss-',)",,Unlimited,Unlimited,Abyss Keeper,2023-01-01 18:58:59,,Link Monster,,WATER,Fish,,1500,,,2,"('↙', '↘')"
Abyss Playhouse - Fantastic Theater,77297908,Spell Card,Field Spell Card,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,Abyss Playhouse - Fantastic Theater,2022-04-20 02:42:08,"('Name',)",,,,,,,,,,
Abyss Prop - Wild Wagon,86578200,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Abyss Prop - Wild Wagon,2022-08-14 11:06:06,,,,,,,,,,,
Abyss Script - Abysstainment,70564929,Spell Card,Continuous Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Script',)",,Unlimited,Unlimited,Abyss Script - Abysstainment,2020-11-15 04:41:24,,,,,,,,,,,
Abyss Script - Dramatic Story,33503878,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Abyss Script - Dramatic Story,2022-10-15 10:01:20,,,,,,,,,,,
Abyss Script - Fantasy Magic,87390798,Spell Card,Normal Spell Card,"('Effect', 'Trigger Effect')","('Abyss Script',)",,Unlimited,Unlimited,Abyss Script - Fantasy Magic,2021-04-16 15:00:58,,,,,,,,,,,
Abyss Script - Fire Dragon's Lair,50179591,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,Unlimited,Unlimited,Abyss Script - Fire Dragon's Lair,2019-11-26 22:46:58,,,,,,,,,,,
Abyss Script - Opening Ceremony,23784496,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,Unlimited,Unlimited,Abyss Script - Opening Ceremony,2022-04-01 12:52:27,,,,,,,,,,,
Abyss Script - Rise of the Abyss King,13662809,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,Unlimited,Unlimited,Abyss Script - Rise of the Abyss King,2022-12-25 15:49:23,,,,,,,,,,,
Abyss Script - Romantic Terror,41803903,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,Unlimited,Unlimited,Abyss Script - Romantic Terror,2022-04-20 02:56:12,,,,,,,,,,,
Abyss Shark,61496006,Monster Card,,"('Condition', 'Ignition Effect', 'Unclassified effect')","('Abyss-', 'Shark (series)')",,Unlimited,Unlimited,Abyss Shark,2022-06-16 17:42:58,,Effect Monster,,WATER,Fish,5,1200,700,,,
Abyss Soldier,18318842,Monster Card,,"('Ignition Effect',)","('Abyss-',)",,Unlimited,Unlimited,Abyss Soldier,2022-04-29 12:29:25,,Effect Monster,,WATER,Aqua,4,1800,1300,,,
Abyss Stungray,97232518,Trap Card,Continuous Trap Card,"('Continuous Effect', 'Effect')","('Trap Monster',)",,Unlimited,Unlimited,Abyss Stungray,2022-07-24 09:45:55,,,,,,,,,,,
Abyss Warrior,88409165,Monster Card,,"('Ignition Effect',)","('Abyss-', 'Warrior (archetype)')",,Unlimited,Unlimited,Abyss Warrior,2021-11-06 15:59:29,,Effect Monster,,WATER,Aqua,4,1800,1300,,,
Abyss-scale of Cetus,19596712,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect')","('Abyss-',)",,Unlimited,Unlimited,Abyss-scale of Cetus,2021-06-20 15:33:59,,,,,,,,,,,
Abyss-scale of the Kraken,08719957,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect')","('Abyss-',)",,Unlimited,Unlimited,Abyss-scale of the Kraken,2021-11-06 15:59:49,,,,,,,,,,,
Abyss-scale of the Mizuchi,72932673,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect')","('Abyss-',)",,Unlimited,Unlimited,Abyss-scale of the Mizuchi,2021-06-20 15:42:43,,,,,,,,,,,
Abyss-scorn,79206750,Trap Card,Normal Trap Card,"('Effect', 'Trigger Effect')","('Abyss-',)",,Unlimited,Unlimited,Abyss-scorn,2022-04-20 02:46:02,,,,,,,,,,,
Abyss-sphere,60202749,Trap Card,Continuous Trap Card,"('Condition', 'Continuous-like Effect', 'Effect')","('Abyss-',)","('Edited',)",Unlimited,Unlimited,Abyss-sphere,2022-04-20 11:32:02,,,,,,,,,,,
Abyss-squall,34707034,Trap Card,Normal Trap Card,"('Condition', 'Effect')","('Abyss-',)","('Edited',)",Unlimited,Unlimited,Abyss-squall,2022-11-20 14:30:11,,,,,,,,,,,
Abyss-strom,97697447,Trap Card,Normal Trap Card,"('Cost', 'Effect')","('Abyss-',)",,Unlimited,Unlimited,Abyss-strom,2022-11-20 14:32:06,,,,,,,,,,,
Abyssal Designator,89801755,Spell Card,Normal Spell Card,"('Cost', 'Effect')","('Designator',)",,Unlimited,Unlimited,Abyssal Designator,2022-09-23 08:24:34,,,,,,,,,,,
Abyssal Kingshark,44223284,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Abyssal Kingshark,2022-04-19 18:05:11,,Effect Monster,,WATER,Fish,4,1700,600,,,
Accel Synchro Stardust Dragon,30983281,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect')","('Stardust (archetype)',)",,Not yet released,Unlimited,Accel Synchro Stardust Dragon,2022-11-22 18:35:54,,Synchro Monster,,WIND,Dragon,8,2500,2000,,,
Accel Synchron,37675907,Monster Card,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Synchron',)",,Unlimited,Unlimited,Accel Synchron,2022-07-21 16:34:07,,Synchro Monster,Tuner monster,DARK,Machine,5,500,2100,,,
Accellight,34838437,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')",,,Unlimited,Unlimited,Accellight,2021-03-14 20:09:18,,,,,,,,,,,
Accesscode Talker,86066372,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Code Talker (archetype)',)",,Unlimited,Unlimited,Accesscode Talker,2022-11-17 14:16:54,,Link Monster,,DARK,Cyberse,,2300,,,4,"('↓', '←', '→', '↑')"
Accumulated Fortune,98444741,Trap Card,Normal Trap Card,"('Activation condition', 'Condition', 'Effect')",,,Unlimited,Unlimited,Accumulated Fortune,2021-08-26 18:51:29,,,,,,,,,,,
Achacha Archer,98865920,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Achacha Archer,2022-07-25 23:38:59,,Effect Monster,,FIRE,Warrior,3,1200,600,,,
Achacha Chanbara,62476197,Monster Card,,"('Quick Effect',)",,,Unlimited,Unlimited,Achacha Chanbara,2022-07-25 23:38:38,,Effect Monster,,FIRE,Warrior,3,1400,400,,,
Achichi @Ignister,15808381,Monster Card,,"('Condition', 'Trigger Effect')","('@Ignister',)",,Unlimited,Unlimited,Achichi @Ignister,2022-05-05 16:35:06,,Effect Monster,,FIRE,Cyberse,2,800,800,,,
Acid Crawler,77568553,Monster Card,,,,,,Unlimited,Acid Crawler,2021-07-05 10:32:40,,Normal Monster,,EARTH,Insect,3,900,700,,,
Acid Rain,21323861,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,Acid Rain,2021-11-06 15:23:06,,,,,,,,,,,
Acid Trap Hole,41356845,Trap Card,Normal Trap Card,"('Effect',)","('Trap Hole (archetype)',)","('Alternate',)",Unlimited,Unlimited,Acid Trap Hole,2022-10-29 14:54:08,"('Name',)",,,,,,,,,,
Acidic Downpour,35956022,Spell Card,Field Spell Card,"('Continuous-like Effect',)",,,Unlimited,Unlimited,Acidic Downpour,2021-11-06 15:23:35,,,,,,,,,,,
Acorno,21051977,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,Acorno,2021-11-06 15:24:17,,Effect Monster,,EARTH,Plant,1,200,400,,,
Acrobat Monkey,47372349,Monster Card,,,,,Unlimited,Unlimited,Acrobat Monkey,2021-11-06 15:24:39,,Normal Monster,,EARTH,Machine,3,1000,1800,,,
Acrobatic Magician,33656832,Monster Card,,"('Condition', 'Trigger Effect')","('Magician',)",,Unlimited,Unlimited,Acrobatic Magician,2021-11-07 04:32:35,,Effect Monster,,DARK,Spellcaster,5,800,2300,2,,
Action Magic - Double Banking,35498188,Spell Card,Quick-Play Spell Card,"('Cost', 'Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,Action Magic - Double Banking,2020-01-21 04:43:39,,,,,,,,,,,
Action Magic - Full Turn,99004583,Spell Card,Quick-Play Spell Card,"('Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,Action Magic - Full Turn,2020-01-21 04:50:23,,,,,,,,,,,
Ad Libitum of Despia,81555617,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Despia',)",,Unlimited,Unlimited,Ad Libitum of Despia,2022-11-04 01:22:15,,Effect Monster,,DARK,Fairy,8,1500,2000,,,
Adamancipator Analyzer,11302671,Monster Card,,"('Condition', 'Ignition Effect')","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Analyzer,2021-10-07 07:57:40,,Effect Monster,Tuner monster,EARTH,Rock,4,1500,700,,,
Adamancipator Crystal - Dragite,10286023,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Crystal - Dragite,2021-10-07 07:57:14,,Effect Monster,,WATER,Rock,4,0,2200,,,
Adamancipator Crystal - Leonite,47897376,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Crystal - Leonite,2021-10-07 07:57:28,,Effect Monster,,FIRE,Rock,4,0,2200,,,
Adamancipator Crystal - Raptite,74891384,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Crystal - Raptite,2021-10-07 07:57:19,,Effect Monster,,WIND,Rock,4,0,2200,,,
Adamancipator Friends,99927991,Spell Card,Normal Spell Card,"('Effect',)","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Friends,2022-04-20 11:20:24,,,,,,,,,,,
Adamancipator Laputite,46552140,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Ignition-like Effect')","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Laputite,2022-04-20 02:44:07,,,,,,,,,,,
Adamancipator Relief,09341993,Trap Card,Normal Trap Card,"('Cost', 'Effect')","('Adamancipator',)",,Unlimited,Unlimited,Adamancipator Relief,2021-10-07 07:35:53,,,,,,,,,,,
