Set,Name,Rarity,Print,Region,Release,Set type,Cover card,Modification date,Version
Starter Deck: Joey,Magician of Faith,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Big Eye,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Big Eye,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Sangan,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Sangan,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Princess of Tsurugi,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Princess of Tsurugi,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,White Magical Hat,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,White Magical Hat,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Penguin Soldier,"('Super Rare',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Penguin Soldier,"('Super Rare',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Thousand Dragon,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Thousand Dragon,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Flame Swordsman,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Flame Swordsman,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Malevolent Nuzzler,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Malevolent Nuzzler,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Dark Hole,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Dark Hole,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Dian Keto the Cure Master,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Dian Keto the Cure Master,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Fissure,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Fissure,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,De-Spell,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,De-Spell,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Change of Heart,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Change of Heart,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Block Attack,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Block Attack,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Giant Trunade,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Giant Trunade,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,The Reliable Guardian,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,The Reliable Guardian,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Remove Trap,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Remove Trap,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Monster Reborn,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Monster Reborn,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Polymerization,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Polymerization,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Mountain,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Mountain,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Dragon Treasure,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Dragon Treasure,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Eternal Rest,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Eternal Rest,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Shield & Sword,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Shield & Sword,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Scapegoat,"('Super Rare',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Scapegoat,"('Super Rare',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Just Desserts,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Just Desserts,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Trap Hole,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Trap Hole,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Reinforcements,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Reinforcements,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Castle Walls,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Castle Walls,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Waboku,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Waboku,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Ultimate Offering,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Ultimate Offering,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Seven Tools of the Bandit,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Seven Tools of the Bandit,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Fake Trap,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Fake Trap,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Reverse Trap,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Reverse Trap,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Kaiba,Blue-Eyes White Dragon,"('Ultra Rare',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Blue-Eyes White Dragon,"('Ultra Rare',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Hitotsu-Me Giant,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Hitotsu-Me Giant,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Ryu-Kishin,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Ryu-Kishin,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,The Wicked Worm Beast,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,The Wicked Worm Beast,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Battle Ox,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Battle Ox,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Koumori Dragon,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Koumori Dragon,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Judge Man,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Judge Man,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Rogue Doll,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Rogue Doll,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Kojikocy,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Kojikocy,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Uraby,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Uraby,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Gyakutenno Megami,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Gyakutenno Megami,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Mystic Horseman,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Mystic Horseman,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Terra the Terrible,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Terra the Terrible,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Dark Titan of Terror,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Dark Titan of Terror,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Dark Assailant,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Dark Assailant,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Master & Expert,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Master & Expert,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Unknown Warrior of Fiend,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Unknown Warrior of Fiend,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Mystic Clown,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Mystic Clown,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Ogre of the Black Shadow,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Ogre of the Black Shadow,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Dark Energy,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Dark Energy,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Invigoration,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Invigoration,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Dark Hole,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Dark Hole,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Ookazi,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Ookazi,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Ryu-Kishin Powered,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Ryu-Kishin Powered,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Swordstalker,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Swordstalker,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,La Jinn the Mystical Genie of the Lamp,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,La Jinn the Mystical Genie of the Lamp,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Rude Kaiser,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Rude Kaiser,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Destroyer Golem,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Destroyer Golem,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Skull Red Bird,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Skull Red Bird,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,D. Human,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,D. Human,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Pale Beast,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Pale Beast,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Fissure,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Fissure,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Trap Hole,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Trap Hole,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Two-Pronged Attack,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Two-Pronged Attack,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,De-Spell,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,De-Spell,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Monster Reborn,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,Monster Reborn,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,The Inexperienced Spy,"('Common',)",,SP,2003-10-01,Starter Deck,"('Blue-Eyes White Dragon',)",2023-01-14 15:46:53,New
Starter Deck: Kaiba,The Inexperienced Spy,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
Starter Deck: Kaiba,Reinforcements,"('Common',)",,SP,2002-03-29,Starter Deck,"('Blue-Eyes White Dragon',)",2022-06-26 09:10:57,Old
