Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows,Effect type,Archseries,Artwork,Errata,TCG status,OCG status,Modification date
A.I. Contact,10493654,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('A.I.',)",,,Unlimited,Unlimited,Thu May  5 17:56:22 2022
A.I. Love Fusion,59332125,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('A.I.', 'Polymerization (archetype)')",,,Unlimited,Unlimited,Tue Jul  5 13:50:30 2022
A.I. Meet You,06552971,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('A.I.',)",,,Unlimited,Unlimited,Thu Sep  1 23:10:57 2022
A.I.'s Ritual,85327820,Spell Card,Ritual Spell Card,,,,,,,,,,,"('Effect',)","('A.I.',)",,,Unlimited,Unlimited,Thu May  5 17:00:17 2022
A.I.dle Reborn,22933016,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('A.I.',)",,,Unlimited,Unlimited,Thu May  5 16:58:21 2022
ALERT!,26372118,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('Rescue-ACE',)",,,,Unlimited,Sat Aug 20 12:34:25 2022
Abomination's Prison,27412542,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Thu May  5 16:16:15 2022
Absorb Fusion,71422989,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('Fusion (archetype)',)",,,Unlimited,Unlimited,Sun Nov 15 04:24:41 2020
Abyss Playhouse - Fantastic Theater,77297908,Spell Card,Field Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,,"('Name',)",Unlimited,Unlimited,Wed Apr 20 02:42:08 2022
Abyss Prop - Wild Wagon,86578200,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sun Aug 14 11:06:06 2022
Abyss Script - Abysstainment,70564929,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Unlimited,Sun Nov 15 04:41:24 2020
Abyss Script - Fantasy Magic,87390798,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Unlimited,Fri Apr 16 15:00:58 2021
Abyss Script - Fire Dragon's Lair,50179591,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Unlimited,Tue Nov 26 22:46:58 2019
Abyss Script - Opening Ceremony,23784496,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Unlimited,Fri Apr  1 12:52:27 2022
Abyss Script - Rise of the Abyss King,13662809,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Unlimited,Fri Apr  1 12:53:11 2022
Abyss Script - Romantic Terror,41803903,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",,,Unlimited,Unlimited,Wed Apr 20 02:56:12 2022
Abyss-scale of Cetus,19596712,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect')","('Abyss-',)",,,Unlimited,Unlimited,Sun Jun 20 15:33:59 2021
Abyss-scale of the Kraken,08719957,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect')","('Abyss-',)",,,Unlimited,Unlimited,Sat Nov  6 15:59:49 2021
Abyss-scale of the Mizuchi,72932673,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect')","('Abyss-',)",,,Unlimited,Unlimited,Sun Jun 20 15:42:43 2021
Abyssal Designator,89801755,Spell Card,Normal Spell Card,,,,,,,,,,,"('Cost', 'Effect')","('Designator',)",,,Unlimited,Unlimited,Sat Mar  6 20:49:05 2021
Accellight,34838437,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')",,,,Unlimited,Unlimited,Sun Mar 14 20:09:18 2021
Acid Rain,21323861,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sat Nov  6 15:23:06 2021
Acidic Downpour,35956022,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Sat Nov  6 15:23:35 2021
Action Magic - Double Banking,35498188,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Cost', 'Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Tue Jan 21 04:43:39 2020
Action Magic - Full Turn,99004583,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Tue Jan 21 04:50:23 2020
Adamancipator Friends,99927991,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Adamancipator',)",,,Unlimited,Unlimited,Wed Apr 20 11:20:24 2022
Adamancipator Laputite,46552140,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Ignition-like Effect')","('Adamancipator',)",,,Unlimited,Unlimited,Wed Apr 20 02:44:07 2022
Adamancipator Signs,72957245,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Adamancipator',)",,,Unlimited,Unlimited,Wed Apr 20 11:49:10 2022
Advance Draw,51630558,Spell Card,Normal Spell Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Wed Apr 27 14:46:32 2022
Advance Force,38589847,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Wed Apr 27 14:46:49 2022
Advance Zone,76224717,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Wed Feb  3 18:16:11 2021
Advanced Dark,12644061,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sat Jul 16 17:32:40 2022
Advanced Heraldry Art,61314842,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect', 'Lingering effect')","('Heraldry',)",,"('Name',)",Unlimited,Unlimited,Sun Mar 13 00:14:53 2022
Advanced Ritual Art,46052429,Spell Card,Ritual Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sun Aug 14 09:26:14 2022
After the Storm,82263578,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Wed Apr 20 11:54:36 2022
After the Struggle,25345186,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,"('Name', 'Type')",Unlimited,Unlimited,Tue Apr 19 23:46:31 2022
Afterglow,43575579,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Lingering effect')",,,,Unlimited,Unlimited,Tue Oct  6 16:59:10 2020
Against the Wind,64952266,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Wed Apr 27 14:47:34 2022
Air Cracking Storm,98864751,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Trigger Effect')",,,,Unlimited,Unlimited,Tue Apr  6 17:14:43 2021
Allure of Darkness,01475311,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sat Mar 26 14:25:15 2022
Alluring Mirror Split,92881099,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Trigger Effect')",,"('Alternate', 'Edited')",,Unlimited,Unlimited,Wed Apr 20 02:46:22 2022
Amazement Precious Park,33773528,Spell Card,Field Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Amazement',)",,,Unlimited,Unlimited,Fri Jun  4 09:01:21 2021
Amazement Special Show,06374519,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect',)","('Amazement',)",,,Unlimited,Unlimited,Wed Sep 15 16:51:02 2021
Amazing Pendulum,37803970,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')","('Pendulum (archetype)',)",,,Unlimited,Unlimited,Sun Nov  7 04:46:45 2021
Amazing Time Ticket,70389815,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect')",,,,Unlimited,Unlimited,Fri Jun  4 09:01:28 2021
Amazoness Call,57312333,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Ignition-like Effect')","('Amazoness',)",,,Unlimited,Unlimited,Tue Aug  9 08:15:25 2022
Amazoness Fighting Spirit,36100154,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect',)","('Amazoness',)",,,Unlimited,Unlimited,Wed Apr 20 12:23:46 2022
Amazoness Heirloom,79965360,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Amazoness',)",,,Unlimited,Unlimited,Sun Nov 15 05:01:05 2020
Amazoness Secret Technique,86758746,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Ignition-like Effect')","('Amazoness',)",,,,Unlimited,Tue Aug  9 08:15:34 2022
Amazoness Spellcaster,81325903,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Amazoness',)","('Edited',)","('Type',)",Unlimited,Unlimited,Wed Apr 20 12:35:36 2022
Amazoness Village,00712559,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')","('Amazoness',)",,,Unlimited,Unlimited,Wed Apr 20 02:46:09 2022
Amorphage Infection,50554729,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Amorphage',)",,,Unlimited,Unlimited,Sun Nov 15 05:03:44 2020
Amorphous Persona,23160024,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Sun Jul 24 10:09:47 2022
Amplifier,00303660,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect')",,,"('Name',)",Unlimited,Unlimited,Sat Mar  6 20:53:29 2021
Amulet of Ambition,05183693,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Fri Apr 16 15:30:46 2021
Ancient Chant,78665705,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Sat Sep 26 16:24:47 2020
Ancient City - Rainbow Ruins,34487429,Spell Card,Field Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Quick-like Effect')",,,,Unlimited,Unlimited,Sun Jul 24 09:30:32 2022
Ancient Forest,87624166,Spell Card,Field Spell Card,,,,,,,,,,,"('Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sat May 14 06:11:31 2022
Ancient Gear Castle,92001300,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect',)","('Ancient Gear',)","('Edited',)",,Unlimited,Unlimited,Mon Mar 21 20:07:08 2022
Ancient Gear Catapult,44052074,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect', 'Ignition-like Effect')","('Ancient Gear',)",,,Unlimited,Unlimited,Thu Jul  2 13:32:42 2020
Ancient Gear Drill,67829249,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Cost', 'Effect')","('Ancient Gear',)",,,Unlimited,Unlimited,Sat Nov  6 15:36:02 2021
Ancient Gear Explosive,04446672,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Ancient Gear',)",,,Unlimited,Unlimited,Sat Nov  6 16:23:26 2021
Ancient Gear Factory,30435145,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Ancient Gear',)",,,Unlimited,Unlimited,Thu Sep  8 07:07:55 2022
Ancient Gear Fist,40830387,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Trigger Effect')","('Ancient Gear',)",,,Unlimited,Unlimited,Sat Nov  6 16:24:03 2021
Ancient Gear Fortress,70147689,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')","('Ancient Gear',)",,,Unlimited,Unlimited,Sun Aug 14 11:07:11 2022
Ancient Gear Fusion,64061284,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Ancient Gear', 'Fusion (archetype)')",,,Unlimited,Unlimited,Thu Mar 10 19:28:17 2022
Ancient Gear Tank,37457534,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Ancient Gear',)",,,Unlimited,Unlimited,Sat Nov  6 16:24:20 2021
Ancient Gear Workshop,59811955,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Ancient Gear',)",,,Unlimited,Unlimited,Wed Oct  7 23:43:07 2020
Ancient Leaf,11830996,Spell Card,Normal Spell Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Sat Nov  6 16:24:41 2021
Ancient Rules,10667321,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Wed Jan 20 20:19:04 2021
Ancient Telescope,17092736,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,"('Type',)",Unlimited,Unlimited,Tue Apr 19 18:05:58 2022
Ancient Warriors Saga - Borrowing of Arrows,33609093,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Ancient Warriors',)",,,Unlimited,Unlimited,Fri May  1 18:49:19 2020
Ancient Warriors Saga - Deception and Betrayal,45115956,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect')","('Ancient Warriors',)",,,Unlimited,Unlimited,Thu May 19 23:18:18 2022
Ancient Warriors Saga - East-by-South Winds,62528292,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Ancient Warriors',)",,,Unlimited,Unlimited,Tue Sep  8 20:57:08 2020
Ancient Warriors Saga - Sun-Liu Alliance,58116537,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Ancient Warriors',)",,,Unlimited,Unlimited,Fri Feb  7 13:03:25 2020
Ancient Warriors Saga - Three Visits,11711438,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Trigger Effect')","('Ancient Warriors',)",,,Unlimited,Unlimited,Fri Feb  7 13:03:08 2020
Angel with Blue Tears,91706817,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')",,,,,Unlimited,Sat Jun  4 11:32:10 2022
Ante,34236961,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sat Nov  6 15:40:15 2021
Anti-Magic Arrows,97120394,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')",,,,Unlimited,Unlimited,Thu Jan  7 09:05:20 2021
Appliancer Conversion,27157996,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Ignition-like Effect')","('Appliancer',)",,,Unlimited,Unlimited,Fri Dec  3 11:45:43 2021
Appliancer Electrilyrical World,03875465,Spell Card,Field Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Appliancer',)",,,Unlimited,Unlimited,Tue Oct  6 16:27:37 2020
Appliancer Reuse,30996652,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)","('Appliancer',)",,,Unlimited,Unlimited,Tue Oct  6 16:27:40 2020
Appliancer Test,66380357,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('Appliancer',)",,,Unlimited,Unlimited,Tue Oct  6 16:27:39 2020
Aqua Jet,07653207,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Fri Apr 29 12:42:40 2022
Aquamirror Focalization,,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Aquamirror',)",,,,Not yet released,Fri Sep  9 17:55:16 2022
Aquarium Lighting,91831066,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Trigger Effect', 'Unclassified effect')","('Aquarium',)",,,Unlimited,Unlimited,Fri Sep 11 15:05:40 2020
Aquarium Set,65446452,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')","('Aquarium',)",,,Unlimited,Unlimited,Fri Sep 11 15:04:56 2020
Aquarium Stage,29047353,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')","('Aquarium',)",,,Unlimited,Unlimited,Fri Sep 11 15:04:14 2020
Arabesque of the Mikanko,43527730,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')","('Mikanko',)",,,,Unlimited,Mon Aug 22 00:06:06 2022
"Arametir, the Forbidden Spell",34690953,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Adventurer Token (series)',)",,,,Unlimited,Sat Jul 16 15:17:54 2022
Arcana Reading,11819473,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Fri Aug  6 07:18:11 2021
Arcane Barrier,17896384,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Thu Mar 19 22:39:49 2020
Archfiend Palabyrinth,63883999,Spell Card,Field Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')","('Archfiend',)",,,Unlimited,Unlimited,Tue Feb  2 17:17:04 2021
Archfiend's Oath,22796548,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Ignition-like Effect',)","('Archfiend',)",,"('Name',)",Unlimited,Unlimited,Sat Mar  6 20:58:37 2021
Archfiend's Staff of Despair,21438286,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Archfiend',)",,,Unlimited,Unlimited,Thu Sep  1 21:24:40 2022
Armed Changer,90374791,Spell Card,Equip Spell Card,,,,,,,,,,,"('Cost', 'Trigger Effect')","('Change',)",,,Unlimited,Unlimited,Sat Nov  6 16:28:30 2021
Armed Dragon Blitz,61606250,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('Armed Dragon',)",,,Unlimited,Unlimited,Thu Sep  1 21:19:29 2022
Armed Dragon Flash,34611551,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('Armed Dragon',)",,,Unlimited,Unlimited,Thu Sep  1 21:18:45 2022
Armed Dragon Lightning,97091969,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')","('Armed Dragon',)",,,Unlimited,Unlimited,Thu Sep  1 21:20:39 2022
Armor Blast,79155167,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sun Nov 15 06:00:10 2020
Armor Dragon Ritual,58827995,Spell Card,Ritual Spell Card,,,,,,,,,,,"('Condition', 'Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Fri Aug  6 03:54:13 2021
Armor Ninjitsu Art of Alchemy,16272453,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Ninjitsu Art',)",,,Unlimited,Unlimited,Thu Mar 19 22:42:44 2020
Aroma Garden,05050644,Spell Card,Field Spell Card,,,,,,,,,,,"('Ignition-like Effect', 'Trigger Effect')","('Aroma',)",,,Unlimited,Unlimited,Sun Apr  4 06:33:07 2021
Aroma Gardening,29189613,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Trigger Effect')","('Aroma',)",,,Unlimited,Unlimited,Wed Apr 20 02:56:58 2022
Array of Revealing Light,69296555,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect',)","('Protective Seal',)",,"('Type',)",Unlimited,Unlimited,Thu Aug 25 12:20:58 2022
Arrivalrivals,29508346,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')",,"('Alternate', 'Edited')",,Unlimited,Unlimited,Wed Apr 20 03:13:16 2022
Arrive in Light,00365213,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Mon Aug  1 12:27:58 2022
Artifact Ignition,29223325,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect', 'Trigger Effect')","('Artifact',)",,,Unlimited,Unlimited,Sun Nov 15 06:05:39 2020
Artifacts Unleashed,56611470,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect', 'Trigger Effect')","('Artifact',)",,,Unlimited,Unlimited,Thu Mar 19 22:48:03 2020
Ascending Soul,88301833,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Sun Nov 15 06:06:44 2020
Asceticism of the Six Samurai,27821104,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect',)","('Six Samurai',)",,,Unlimited,Unlimited,Wed Apr 20 12:00:49 2022
Assault Armor,88190790,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Sat Nov  6 16:30:56 2021
Assault Mode Zero,88332693,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Cost', 'Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Mon Dec 27 18:02:17 2021
Assault Overload,93469007,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Wed Apr 20 12:06:17 2022
Assault Revival,56252810,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Fri Jul  9 18:47:04 2021
Assault Teleport,29863101,Spell Card,Normal Spell Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Sun Nov 15 06:09:31 2020
Asymmetaphys,66719533,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Ignition-like Effect', 'Trigger Effect')","('Metaphys',)",,,Unlimited,Unlimited,Mon Mar 21 15:08:25 2022
Attack Pheromones,68786330,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Wed Apr 20 12:22:15 2022
Attack the Moon!,83715234,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Wed Feb  3 20:03:43 2021
Attraffic Control,46083380,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Wed Apr 20 12:12:17 2022
Augmented Heraldry,59048135,Spell Card,Field Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')","('Heraldry',)",,,Unlimited,Unlimited,Sun Aug 14 11:07:34 2022
Autonomous Action Unit,71453557,Spell Card,Equip Spell Card,,,,,,,,,,,"('Activation condition', 'Continuous-like Effect', 'Cost', 'Effect')",,,"('Name', 'Type')",Unlimited,Unlimited,Sun Jul 24 06:10:02 2022
Awakening of the Crystal Ultimates,12877076,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Condition', 'Effect')","('Crystal',)",,,Not yet released,Unlimited,Thu Sep  1 08:56:46 2022
Awakening of the Possessed,62256492,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Possessed',)",,,Unlimited,Unlimited,Wed Apr 20 03:11:46 2022
Axe of Despair,40619825,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Archfiend',)","('Edited',)","('Type',)",Unlimited,Unlimited,Sun Apr 24 04:05:40 2022
Axe of Fools,19578592,Spell Card,Equip Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sun Nov 15 06:29:05 2020
Ayers Rock Sunrise,42502956,Spell Card,Normal Spell Card,,,,,,,,,,,"('Condition', 'Effect')",,,,Unlimited,Unlimited,Wed Dec 15 02:19:05 2021
B.E.F. Zelos,00975299,Spell Card,Field Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sun Aug 14 11:09:14 2022
Back to Square One,47453433,Spell Card,Normal Spell Card,,,,,,,,,,,"('Effect',)",,"('Edited',)",,Unlimited,Unlimited,Fri Apr  8 17:49:53 2022
