Password,Effect type,Artwork,OCG status,Modification date,Errata,Version
,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,Not yet released,2022-12-13 19:33:24,,Old
,"('Condition', 'Trigger Effect')",,Not yet released,2023-01-09 11:52:50,,Old
53971455,"('Condition', 'Trigger Effect')",,Unlimited,2023-01-14 07:40:10,,New
07336745,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,2023-01-14 02:54:57,,New
,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,2023-01-10 12:57:36,,Old
06214163,"('Condition', 'Continuous-like Effect', 'Effect')",,Unlimited,2023-01-14 02:58:33,,New
,"('Condition', 'Continuous-like Effect', 'Effect')",,Not yet released,2023-01-06 17:27:27,,Old
,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2022-12-27 02:08:11,,Old
70155677,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-01-14 00:58:27,,New
,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-01-08 20:12:57,,Old
28798938,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:51:42,,New
82090807,"('Condition', 'Continuous Effect', 'Quick Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:35:33,,New
,"('Condition', 'Continuous Effect', 'Quick Effect', 'Unclassified effect')",,Not yet released,2023-01-13 16:07:27,,Old
20455229,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:25:21,,New
,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2023-01-13 13:01:28,,Old
21637210,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:05:55,,New
,"('Condition', 'Quick Effect', 'Trigger Effect')",,Not yet released,2022-11-15 20:16:14,,Old
57940938,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-01-14 00:26:21,,New
,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-01-13 13:01:49,,Old
,"('Effect',)",,Not yet released,2023-01-02 13:21:56,,Old
43618262,"('Effect',)",,Unlimited,2023-01-14 02:59:27,,New
,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,2023-01-11 09:39:00,,Old
06327734,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:04:14,,New
,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-01-13 11:07:01,,Old
04483598,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:13:49,,New
,"('Condition', 'Effect')",,Not yet released,2023-01-06 17:35:52,,Old
43331750,"('Condition', 'Effect')",,Unlimited,2023-01-14 02:56:13,,New
84521924,"('Continuous Effect', 'Quick Effect')",,Unlimited,2023-01-14 02:08:32,,New
,"('Continuous Effect', 'Quick Effect')",,Not yet released,2023-01-13 14:39:24,,Old
45883110,"('Condition', 'Trigger Effect')",,Unlimited,2023-01-14 07:41:11,,New
,"('Condition', 'Trigger Effect')",,Not yet released,2023-01-13 14:29:03,,Old
83008724,"('Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:43:24,,New
,"('Ignition-like Effect', 'Trigger Effect')",,Not yet released,2023-01-03 17:43:36,,Old
,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Not yet released,2023-01-13 13:23:07,,Old
31987203,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:15:14,,New
93895605,"('Activation condition', 'Effect')",,Unlimited,2022-03-22 03:22:48,,Old
93895605,"('Activation condition', 'Effect')","('Edited',)",Unlimited,2023-01-14 01:24:29,,New
18494511,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Lingering effect')",,Unlimited,2023-01-14 00:37:27,,New
,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Lingering effect')",,Not yet released,2023-01-13 14:27:50,,Old
,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,2022-12-21 13:08:38,,Old
05205146,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:07:28,,New
82286798,"('Condition', 'Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:23:06,,New
,"('Condition', 'Effect', 'Trigger Effect')",,Not yet released,2022-12-12 13:17:08,,Old
84121302,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",,Unlimited,2023-01-14 07:42:35,,New
,,,Not yet released,2022-12-21 10:20:59,,Old
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2022-12-12 14:40:33,,Old
45065541,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:27:27,,New
71164684,"('Condition', 'Effect', 'Unclassified effect')",,Unlimited,2023-01-14 02:50:06,,New
,"('Condition', 'Effect', 'Unclassified effect')",,Not yet released,2022-12-12 14:51:15,,Old
17272964,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:54:42,,New
,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2022-12-13 05:26:44,,Old
19671433,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:25:20,,New
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2022-12-12 14:36:12,,Old
44760562,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:57:02,,New
,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2022-12-13 05:26:16,,Old
,"('Continuous Effect', 'Trigger Effect')",,Not yet released,2023-01-13 14:34:02,,Old
90465153,"('Continuous Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:58:25,,New
,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,2022-12-12 14:56:19,,Old
18158393,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,2023-01-14 02:51:05,,New
,"('Condition', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-01-13 14:30:08,,Old
71277255,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-01-14 00:49:34,,New
43944080,"('Condition', 'Quick Effect', 'Unclassified effect')",,Unlimited,2023-01-14 01:01:01,,New
,"('Condition', 'Quick Effect', 'Unclassified effect')",,Not yet released,2022-12-27 02:42:02,,Old
17550376,"('Condition', 'Quick Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:59:42,,New
,"('Condition', 'Quick Effect', 'Unclassified effect')",,Not yet released,2022-12-27 02:40:48,,Old
48739166,"('Condition', 'Continuous Effect', 'Ignition Effect')",,Unlimited,2022-06-16 17:43:27,"('Type',)",New
48739166,"('Condition', 'Continuous Effect', 'Ignition Effect')",,Unlimited,2022-06-16 17:43:27,,Old
88177324,"('Trigger Effect',)",,Unlimited,2022-05-05 18:17:11,,Old
88177324,"('Trigger Effect',)",,Unlimited,2022-05-05 18:17:11,"('Name',)",New
95442074,"('Continuous Effect', 'Quick Effect')",,Unlimited,2022-08-13 13:11:29,"('Name',)",New
95442074,"('Continuous Effect', 'Quick Effect')",,Unlimited,2022-08-13 13:11:29,,Old
84013237,"('Trigger Effect',)","('Alternate',)",Unlimited,2022-12-06 02:24:33,,Old
84013237,"('Trigger Effect',)","('Alternate',)",Unlimited,2022-12-06 02:24:33,"('Type',)",New
67173574,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2021-06-24 10:59:29,"('Name',)",New
67173574,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2021-06-24 10:59:29,,Old
68396121,"('Condition', 'Ignition Effect')",,Unlimited,2022-05-05 18:17:45,,Old
68396121,"('Condition', 'Ignition Effect')",,Unlimited,2022-05-05 18:17:45,"('Name',)",New
56832966,"('Condition', 'Continuous Effect', 'Quick Effect', 'Summoning condition')",,Unlimited,2021-07-15 11:14:37,,Old
56832966,"('Condition', 'Continuous Effect', 'Quick Effect', 'Summoning condition')",,Unlimited,2021-07-15 11:14:37,"('Name',)",New
,"('Condition', 'Ignition Effect', 'Ignition-like Effect')",,Not yet released,2023-01-13 13:26:15,,Old
66150724,"('Condition', 'Ignition Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 01:33:38,,New
,,,Not yet released,2023-01-10 17:25:52,,Old
68075840,,,Unlimited,2023-01-16 16:45:39,,New
,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",,Not yet released,2022-12-12 14:59:01,,Old
82460246,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:28:43,,New
,"('Condition', 'Continuous Effect', 'Quick Effect')",,Not yet released,2023-01-13 14:37:34,,Old
58036229,"('Condition', 'Continuous Effect', 'Quick Effect')",,Unlimited,2023-01-14 02:06:55,,New
,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2022-12-13 11:21:16,,Old
79933029,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:02:59,,New
,"('Effect', 'Lingering effect', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2022-12-13 11:28:39,,Old
21347668,"('Effect', 'Lingering effect', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-01-14 02:34:29,,New
,"('Condition', 'Effect')",,Not yet released,2022-12-13 11:48:01,,Old
71948047,"('Condition', 'Effect')",,Unlimited,2023-01-14 02:53:24,,New
,"('Condition', 'Ignition Effect')",,Not yet released,2023-01-13 13:25:11,,Old
30765615,"('Condition', 'Ignition Effect')",,Unlimited,2023-01-14 01:30:33,,New
,"('Condition', 'Continuous Effect', 'Quick Effect')",,Not yet released,2023-01-08 20:21:31,,Old
20515672,"('Condition', 'Continuous Effect', 'Quick Effect')",,Unlimited,2023-01-14 02:10:02,,New
67972302,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-01-14 01:23:16,,New
67972302,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2023-01-13 11:26:04,,Old
56510115,"('Condition', 'Effect')",,Unlimited,2023-01-14 07:53:24,,New
,"('Condition', 'Effect')",,Not yet released,2022-12-19 17:17:52,,Old
83334932,"('Condition', 'Ignition Effect')",,Unlimited,2023-01-14 00:27:18,,New
,"('Condition', 'Ignition Effect')",,Not yet released,2023-01-13 13:00:39,,Old
,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-01-13 14:32:05,,Old
90587641,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-01-14 01:54:20,,New
,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",,Not yet released,2023-01-13 15:40:22,,Old
19510093,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-01-14 00:33:05,,New
,"('Continuous Effect', 'Trigger Effect')",,Not yet released,2022-12-09 15:14:48,,Old
64193046,"('Continuous Effect', 'Trigger Effect')",,Unlimited,2023-01-14 07:43:11,,New
82112494,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-01-14 00:31:27,,New
,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",,Not yet released,2023-01-13 15:34:11,,Old
56727340,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 00:29:43,,New
,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",,Not yet released,2023-01-13 13:53:08,,Old
,"('Condition', 'Quick Effect', 'Unclassified effect')",,Not yet released,2023-01-13 13:49:23,,Old
10333641,"('Condition', 'Quick Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:28:57,,New
44843954,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 04:24:36,,New
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2022-12-27 02:34:51,,Old
,"('Summoning condition', 'Trigger Effect')",,Not yet released,2022-12-19 16:27:02,,Old
78098950,"('Summoning condition', 'Trigger Effect')",,Unlimited,2023-01-14 01:12:31,,New
83308376,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:17:43,,New
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2023-01-03 14:11:21,,Old
42822433,"('Condition', 'Trigger Effect')",,Unlimited,2023-01-14 07:43:59,,New
,"('Condition', 'Trigger Effect')",,Not yet released,2022-12-19 15:08:13,,Old
10125011,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:40:11,,New
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2022-12-19 15:26:31,,Old
,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-01-13 14:36:23,,Old
58858807,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:01:23,,New
79210531,"('Condition', 'Trigger Effect')",,Unlimited,2023-01-14 01:06:29,,New
,"('Condition', 'Trigger Effect')",,Not yet released,2022-12-19 15:04:54,,Old
82386016,"('Activation condition', 'Condition', 'Effect')","('Edited',)",Unlimited,2023-01-14 01:26:11,,New
82386016,"('Activation condition', 'Condition', 'Effect')",,Unlimited,2022-04-20 15:36:23,,Old
56787189,"('Trigger Effect',)",,Unlimited,2023-01-14 07:45:28,,New
,"('Trigger Effect',)",,Not yet released,2023-01-11 12:37:56,,Old
,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2023-01-13 15:44:30,,Old
45005708,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-01-14 00:34:14,,New
18458255,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:30:27,,New
,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,Not yet released,2022-12-27 02:29:02,,Old
19403423,"('Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:44:24,,New
,"('Effect', 'Ignition-like Effect')",,Not yet released,2023-01-09 00:47:25,,Old
46497537,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:45:38,,New
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2023-01-13 13:28:45,,Old
70825459,"('Condition', 'Effect', 'Lingering effect')",,Unlimited,2023-01-14 02:57:43,,New
,"('Condition', 'Effect', 'Lingering effect')",,Not yet released,2023-01-10 04:08:07,,Old
10793085,"('Condition', 'Effect')",,Unlimited,2023-01-14 02:18:59,,New
,"('Condition', 'Effect')",,Not yet released,2023-01-03 09:06:20,,Old
,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2022-12-13 00:32:06,,Old
65815684,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-01-14 01:49:33,,New
95243515,"('Condition', 'Continuous Effect', 'Quick Effect')",,Unlimited,2023-01-14 02:04:30,,New
,"('Condition', 'Continuous Effect', 'Quick Effect')",,Not yet released,2022-12-31 14:37:05,,Old
03248469,"('Condition', 'Trigger Effect')",,Unlimited,2023-01-14 01:36:18,,New
,"('Condition', 'Trigger Effect')",,Not yet released,2023-01-13 13:28:04,,Old
44553392,"('Effect',)",,Unlimited,2023-01-14 02:51:52,,New
,"('Effect',)",,Not yet released,2022-12-29 16:43:48,,Old
,"('Condition', 'Continuous Effect', 'Ignition Effect')",,Not yet released,2023-01-13 13:24:07,,Old
03361010,"('Condition', 'Continuous Effect', 'Ignition Effect')",,Unlimited,2023-01-16 19:35:40,,New
