Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Link,Link Arrows,TCG status,OCG status
Archfiend's Oath,22796548,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Archfiend's Staff of Despair,21438286,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Armed Changer,90374791,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Armed Dragon Blitz,61606250,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Armed Dragon Flash,34611551,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Armed Dragon Lightning,97091969,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Armor Blast,79155167,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Armor Dragon Ritual,58827995,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
Armor Ninjitsu Art of Alchemy,16272453,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Aroma Garden,05050644,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Aroma Gardening,29189613,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Array of Revealing Light,69296555,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Arrivalrivals,29508346,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Arrive in Light,00365213,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Artemate Slay,02263869,Spell Card,Normal Spell Card,,,,,,,,,,,Unlimited
Artifact Ignition,29223325,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Artifacts Unleashed,56611470,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Ascending Soul,88301833,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ascension of the Seven Emperors,23153227,Spell Card,Normal Spell Card,,,,,,,,,,,Unlimited
Asceticism of the Six Samurai,27821104,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Assault Armor,88190790,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Assault Mode Zero,88332693,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Assault Overload,93469007,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Assault Revival,56252810,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Assault Teleport,29863101,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Asymmetaphys,66719533,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Attack Pheromones,68786330,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Attack the Moon!,83715234,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Attraffic Control,46083380,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Augmented Heraldry,59048135,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Autonomous Action Unit,71453557,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Awakening of the Crystal Lord,,Spell Card,Quick-Play Spell Card,,,,,,,,,,,Not yet released
Awakening of the Possessed,62256492,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Axe of Despair,40619825,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Axe of Fools,19578592,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Ayers Rock Sunrise,42502956,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
B.E.F. Zelos,00975299,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Back to Square One,47453433,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Back-Up Rider,68833958,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Backup Squad,28486799,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Bait Doll,07165085,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ballista of Rampart Smashing,00242146,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Banishment of the Darklords,87112784,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Banner of Courage,10012614,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Barian's Chaos Draw,97769122,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bariantopia,30761649,Spell Card,Field Spell Card,,,,,,,,,,,Unlimited
Barkion's Bark,11813722,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Basal Rose Shoot,69167267,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Bashing Shield,88610708,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Battery Charger,61181383,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Battle Fusion,43225434,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Battle Royal Mode - Joining,65433790,Spell Card,Continuous Spell Card,,,,,,,,,,,Unlimited
Battle Tuned,05052212,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Battle Waltz,15629801,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Battle of Sleeping Spirits,46570372,Spell Card,Quick-Play Spell Card,,,,,,,,,,,Unlimited
Battlefield Tragedy,42228966,Spell Card,Continuous Spell Card,,,,,,,,,,,Unlimited
Battlin' Boxing Spirits,36916401,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bayonet Punisher,36092504,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Beacon of White,50371210,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Beast Fangs,46009906,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Beast Magic Attack,21984400,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Beast Rage,09999961,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Beastly Mirror Ritual,81933259,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
Beetrooper Descent,87240371,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,
Beetrooper Formation,64213017,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,
Beetrooper Landing,13234975,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,
The Beginning of the End,73680966,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Semi-Limited
Berserk Scales,52497105,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Berserker Crush,15471265,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Berserker Soul,15381252,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Big Bang Shot,61127349,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
The Big Cattle Drive,82386016,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Big Evolution Pill,84808313,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
The Big March of Animals,01689516,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Big Wave Small Wave,51562916,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
"Bingo Machine, Go!!!",93437091,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Birth of the Prominence Flame,05439384,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Black Feather Whirlwind,,Spell Card,Continuous Spell Card,,,,,,,,,,,Not yet released
Black Garden,71645242,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Black Illusion Ritual,41426869,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
Black Luster Ritual,55761792,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
Black Magic Ritual,76792184,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
Black Pendant,65169794,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Black Whirlwind,91351370,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Black and White Wave,31677606,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Black-Winged Strafe,67779172,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Blaze Accelerator,69537999,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Blaze Cannon,04059313,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Blessings of the Nile,30653113,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Blind Spot Strike,49267971,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Blizzard,51706604,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Block Attack,25880422,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Blockout Curtain,53167658,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Blue Medicine,20871001,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Blustering Winds,22346472,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bond Between Teacher and Student,60709218,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bonding - D2O,79402185,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bonding - H2O,45898858,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Boogie Trap,96704974,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Book of Eclipse,35480699,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Book of Life,02204140,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Book of Lunar Eclipse,31834488,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Book of Moon,14087893,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Book of Secret Arts,91595718,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Book of Taiyou,38699854,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
The Book of the Law,00458748,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Boon of the Meklord Emperor,12986778,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Boot Sector Launch,36668118,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Boot-Up Order - Gear Charge,63717421,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Borrel Regenerator,06556178,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Borrel Supplier,30131474,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Boss Rush,66947414,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Bound Wand,53610653,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Bownty,55351724,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Brain Control,87910978,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Brain Research Lab,85668449,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Branch!,30548775,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded Bond,62022479,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded Central Dogmatika,14220547,Spell Card,Continuous Spell Card,,,,,,,,,,,Unlimited
Branded Disciple,34536828,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded Fusion,44362883,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded Loss,10065487,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded Lost,18973184,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded Opening,36637374,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Semi-Limited
Branded in High Spirits,29948294,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded in Red,82738008,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Branded in White,34995106,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Break! Draw!,63851864,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Breaking of the World,69217334,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Breath of Acclamation,44221928,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
Breath of Light,20101223,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Brilliant Fusion,07394770,Spell Card,Continuous Spell Card,,,,,,,,,,Forbidden,Limited
Broken Bamboo Sword,41587307,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Bubble Barrier,79777187,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Bubble Blaster,53586134,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Bubble Illusion,80075749,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Bubble Shuffle,61968753,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Bug Matrix,86643777,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Bug Signal,47185546,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Bujin Regalia - The Mirror,35183853,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bujincandescence,68045685,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Bujincarnation,73906480,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bujintervention,55599882,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Bujinunity,33611061,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Burden of the Mighty,44947065,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Burial from a Different Dimension,48976825,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Burning Bamboo Sword,55870497,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Burning Draw,46898368,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Burning Land,24294108,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Burning Soul,10723472,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Burning Spear,18937875,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Burst Return,27191436,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Burst Stream of Destruction,17655904,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Buster Rancher,84740193,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Butterfly Dagger - Elma,69243953,Spell Card,Equip Spell Card,,,,,,,,,,Forbidden,Forbidden
Call of the Atlanteans,73199638,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Call of the Mummy,04861205,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Called by the Grave,24224830,Spell Card,Quick-Play Spell Card,,,,,,,,,,Limited,Semi-Limited
Calming Magic,51773900,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Canyon,28120197,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Card Advance,52112003,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Card Destruction,72892473,Spell Card,Normal Spell Card,,,,,,,,,,Limited,Limited
Card Rotator,72767833,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Card Shuffle,12183332,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Card Trader,48712195,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Card of Demise,59750328,Spell Card,Normal Spell Card,,,,,,,,,,Limited,Unlimited
Card of Fate,74191528,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Card of Safe Return,57953380,Spell Card,Continuous Spell Card,,,,,,,,,,Forbidden,Forbidden
Card of Sanctity,42664989,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Card of the Soul,07044562,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Cards for Black Feathers,04168871,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Cards from the Sky,54977057,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Cards of Consonance,39701395,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Cards of the Red Stone,32566831,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Castle Link,22198672,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
